product_id,original_url,tracking_url,fallback_name,fallback_description,categories,fallback_image,price,priceSnapshot,featured,createdAt,rating,reviews,orders
1005001928574959,https://www.aliexpress.com/item/1005001928574959.html,https://s.click.aliexpress.com/e/_c31xNsKR,"-1,0-1,5-2,0-2,5-3,0 a-6,0 gafas para miopía con acabado transparente, gafas negras para hombres y mujeres, gafas graduadas para miopía","-1,0-1,5-2,0-2,5-3,0 a-6,0 gafas para miopía con acabado transparente, gafas negras para hombres y mujeres, gafas graduadas para miopía. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes de comprar.",Accesorios y complementos,https://ae-pic-a1.aliexpress-media.com/kf/Se2ec316227b44c11a700ab03943ccdd9Q.jpg_480x480q75.jpg_.avif,Ver precio actual,,false,2026-07-19,,,
1005002784878506,https://www.aliexpress.com/item/1005002784878506.html,https://s.click.aliexpress.com/e/_c3YBfRsn,"2025 Pantalones cortos informales coreanos de seda de hielo sueltos plisados para mujer, pantalones de pierna ancha, ropa deportiva clásica…","2025 Pantalones cortos informales coreanos de seda de hielo sueltos plisados para mujer, pantalones de pierna ancha, ropa deportiva clásica para el hogar, ropa para niñas, Top…. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes…",Moda mujer | Moda infantil,https://ae-pic-a1.aliexpress-media.com/kf/Hbb3a05f81da34491b2110d2d1449539fd.jpg_480x480q75.jpg_.avif,Ver precio actual,$31.566,false,2026-07-19,,,
1005002861502734,https://www.aliexpress.com/item/1005002861502734.html,https://s.click.aliexpress.com/e/_c4ncVE8F,"Vestido largo con hombros descubiertos para mujer, prenda elegante de retazos sin tirantes, a la moda, para fiesta de boda","Vestido largo con hombros descubiertos para mujer, prenda elegante de retazos sin tirantes, a la moda, para fiesta de boda. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes de comprar.",Moda mujer,https://ae-pic-a1.aliexpress-media.com/kf/H08972a5d4a004bbcb7eddce8ad3e5165l.jpg_480x480q75.jpg_.avif,Ver precio actual,$79.507,false,2026-07-19,,,
1005003016238148,https://www.aliexpress.com/item/1005003016238148.html,https://s.click.aliexpress.com/e/_c3k2eiY7,"Vestido ajustado negro para mujer, minivestido Sexy ajustado con cuello Halter y espalda descubierta, vestido recortado sin mangas para…","Vestido ajustado negro para mujer, minivestido Sexy ajustado con cuello Halter y espalda descubierta, vestido recortado sin mangas para fiesta en la playa de verano. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes de comprar.",Moda mujer,https://ae-pic-a1.aliexpress-media.com/kf/Ha2604fa61fa24fe2960beb04f21c5ca9v.jpg_480x480q75.jpg_.avif,Ver precio actual,$20.429,false,2026-07-19,,,
1005004719881662,https://www.aliexpress.com/item/1005004719881662.html,https://s.click.aliexpress.com/e/_c3j7I7l1,"Camiseta sin mangas Sexy para mujer, Tops cortos con cuello Halter negro, camisola con espalda descubierta, Top de tubo informal a la moda,…","Camiseta sin mangas Sexy para mujer, Tops cortos con cuello Halter negro, camisola con espalda descubierta, Top de tubo informal a la moda, chaleco recortado sin mangas para mujer. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío…",Moda mujer,https://ae-pic-a1.aliexpress-media.com/kf/Sfa9b3b025faf469da93b7503927274c3s.jpg_480x480q75.jpg_.avif,Ver precio actual,$9.523,false,2026-07-19,,,
1005005469013123,https://www.aliexpress.com/item/1005005469013123.html,https://s.click.aliexpress.com/e/_c3mWocxt,Vapor DIY insectos robóticos invento científico Animal electrónico para competición escolar Kit de bricolaje sin soldar juguetes de tallo…,"Vapor DIY insectos robóticos invento científico Animal electrónico para competición escolar Kit de bricolaje sin soldar juguetes de tallo Robot Animal. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes de comprar.",Juguetes y ocio | Tecnología,https://ae-pic-a1.aliexpress-media.com/kf/S5057fcac7128493ba4b5085a0d130621W.jpg_480x480q75.jpg_.avif,Ver precio actual,,false,2026-07-19,,,
1005005634022778,https://www.aliexpress.com/item/1005005634022778.html,https://s.click.aliexpress.com/e/_c3hGfNtZ,"Calcetines transpirables ultrafinos para mujer, medias suaves, informales, ligeras, transparentes, para primavera y verano, 10…","Calcetines transpirables ultrafinos para mujer, medias suaves, informales, ligeras, transparentes, para primavera y verano, 10 pares，calcetines dedos，calcetin mujer，calcetines. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes…",Moda mujer,https://ae-pic-a1.aliexpress-media.com/kf/Sf93645e27d134462a0873cb40de08f79g.jpg_220x220q90.jpg_.webp,Ver precio actual,$3.262,false,2026-07-19,,,4282
1005005786319763,https://www.aliexpress.com/item/1005005786319763.html,https://s.click.aliexpress.com/e/_c4tzqD0f,"Alfombra refrescante para perros, cama fría de verano para mascotas, extra grande para perros pequeños y grandes, accesorios para mascotas,…","Alfombra refrescante para perros, cama fría de verano para mascotas, extra grande para perros pequeños y grandes, accesorios para mascotas, manta duradera para gatos, sofá,…. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes de…",Mascotas,https://ae-pic-a1.aliexpress-media.com/kf/S4a6d90fec74a41b79812cd9bae5277d7b.jpg_480x480q75.jpg_.avif,Ver precio actual,$3.262,false,2026-07-19,,,
1005005902775553,https://www.aliexpress.com/item/1005005902775553.html,https://s.click.aliexpress.com/e/_c38Tl431,120W USB a cable tipo C 90 grados codo teléfono móvil carga rápida para Huawei Mate 40 30 Xiaomi Samsung Teléfono Cable de carga,"120W USB a cable tipo C 90 grados codo teléfono móvil carga rápida para Huawei Mate 40 30 Xiaomi Samsung Teléfono Cable de carga. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes de comprar.",Tecnología,https://ae-pic-a1.aliexpress-media.com/kf/S27048b28cfd641c096b750a4b95b64d5Y.jpg_480x480q75.jpg_.avif,Ver precio actual,$3.262,false,2026-07-19,,,
1005005912594648,https://www.aliexpress.com/item/1005005912594648.html,https://s.click.aliexpress.com/e/_c4VL53IF,Cable Baseus USB tipo C a USB C para iPhone 17 16 100W/5A PD Cable cargador de carga rápida para Macbook Xiaomi Samsung Cable tipo C,"Cable Baseus USB tipo C a USB C para iPhone 17 16 100W/5A PD Cable cargador de carga rápida para Macbook Xiaomi Samsung Cable tipo C. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes de comprar.",Tecnología,https://ae-pic-a1.aliexpress-media.com/kf/S0c8788b5cc0b489bb1a1d1941d35b10dG.jpg_220x220q90.jpg_.webp,Ver precio actual,$3.262,false,2026-07-19,,,30536
1005005953135871,https://www.aliexpress.com/item/1005005953135871.html,https://s.click.aliexpress.com/e/_c3ZwHqjD,"Nueva camiseta con bordado de grulla, ropa tradicional china para hombres, camisas Vintage de lino de media manga, cuello Madarin sólido…","Nueva camiseta con bordado de grulla, ropa tradicional china para hombres, camisas Vintage de lino de media manga, cuello Madarin sólido Hanfu Kungfu. Producto seleccionado por Atlas Secreto. Revisa variantes, especificaciones, disponibilidad y condiciones de envío antes de comprar.",Moda hombre,https://ae-pic-a1.aliexpress-media.com/kf/S7df1e44b8e47456ba871ca237e2b7419W.jpg_480x480q75.jpg_.avif,Ver precio actual,$106.125,false,2026-07-19,,,44258
